VendorID,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,trip_duration,pickup_hour,pickup_day,pickup_dayofweek,is_weekend,is_rush_hour
2,N,1,166,166,1,0.91,6.5,0.0,0.5,0.0,0.0,1.0,8.0,2,1,0.0,0.0,216.0,8,1,5,1,1
2,N,1,74,75,1,1.53,8.6,0.0,0.5,2.02,0.0,1.0,12.12,1,1,0.0,0.0,325.0,8,1,5,1,1
2,N,1,74,42,1,0.83,7.2,0.0,0.5,1.74,0.0,1.0,10.44,1,1,0.0,0.0,348.0,6,1,5,1,0
2,N,1,24,48,5,3.76,18.4,0.0,0.5,4.68,0.0,1.0,28.08,1,1,2.75,0.75,629.0,8,1,5,1,1
2,N,1,82,83,1,0.9,7.9,0.0,0.5,2.35,0.0,1.0,11.75,1,1,0.0,0.0,375.0,8,1,5,1,1
2,N,1,75,74,1,1.82,10.0,0.0,0.5,2.0,0.0,1.0,13.5,1,1,0.0,0.0,376.0,8,1,5,1,1
2,N,1,75,74,1,1.26,7.9,0.0,0.5,1.88,0.0,1.0,11.28,1,1,0.0,0.0,306.0,8,1,5,1,1
2,N,1,74,236,4,1.78,11.4,0.0,0.5,1.56,0.0,1.0,17.21,1,1,2.75,0.0,575.0,8,1,5,1,1
2,N,1,74,75,1,1.47,10.0,0.0,0.5,1.72,0.0,1.0,13.22,1,1,0.0,0.0,458.0,8,1,5,1,1
2,N,1,41,244,2,3.49,17.7,0.0,0.5,2.0,0.0,1.0,21.2,1,1,0.0,0.0,820.0,8,1,5,1,1
2,N,1,75,140,1,2.26,12.1,0.0,0.5,0.0,0.0,1.0,16.35,2,1,2.75,0.0,364.0,9,1,5,1,1
2,N,1,75,75,1,0.82,5.8,0.0,0.5,2.0,0.0,1.0,9.3,1,1,0.0,0.0,151.0,8,1,5,1,1
2,N,1,75,74,1,0.57,5.1,0.0,0.5,0.0,0.0,1.0,6.6,2,1,0.0,0.0,141.0,8,1,5,1,1
2,N,1,43,236,1,0.55,6.5,0.0,0.5,1.6,0.0,1.0,9.6,1,1,0.0,0.0,295.0,8,1,5,1,1
2,N,1,236,262,6,1.41,11.4,0.0,0.5,3.13,0.0,1.0,18.78,1,1,2.75,0.0,611.0,8,1,5,1,1
2,N,1,130,10,2,1.54,9.3,0.0,0.5,5.0,0.0,1.0,15.8,1,1,0.0,0.0,407.0,8,1,5,1,1
2,N,1,116,247,1,1.53,10.0,0.0,0.5,2.3,0.0,1.0,13.8,1,1,0.0,0.0,456.0,8,1,5,1,1
2,N,1,74,43,1,1.29,9.3,0.0,0.5,2.7,0.0,1.0,13.5,1,1,0.0,0.0,419.0,8,1,5,1,1
2,N,1,74,42,1,2.66,14.2,0.0,0.5,0.0,0.0,1.0,15.7,1,1,0.0,0.0,556.0,8,1,5,1,1
1,N,1,166,246,1,4.6,20.5,3.5,1.5,2.55,0.0,1.0,28.05,1,1,2.75,0.75,721.0,8,1,5,1,1
2,N,1,166,41,1,1.4,10.7,0.0,0.5,0.68,0.0,1.0,12.88,1,1,0.0,0.0,532.0,8,1,5,1,1
